Processing stained_glass.midi...
Track 0: 
Track 1: [Staff 1]
Note Start: 0, Note End: 20996, Note Name: G4, Velocity: 83
Note Start: 29, Note End: 49664, Note Name: B6, Velocity: 105
Note Start: 0, Note End: 37270, Note Name: B4, Velocity: 93
Note Start: 25, Note End: 50432, Note Name: B6, Velocity: 83
Note Start: 1, Note End: 51967, Note Name: B6, Velocity: 76
Note Start: 1, Note End: 51967, Note Name: B6, Velocity: 72
Note Start: 1, Note End: 51967, Note Name: B6, Velocity: 67
Note Start: 5, Note End: 51971, Note Name: B6, Velocity: 62
Note Start: 0, Note End: 794, Note Name: C5, Velocity: 67
Note Start: 293, Note End: 2073, Note Name: C7, Velocity: 62
Note Start: 34, Note End: 48917, Note Name: B6, Velocity: 62
Note Start: 44, Note End: 17687, Note Name: A5, Velocity: 62
Note Start: 735, Note End: 2255, Note Name: C5, Velocity: 54
Note Start: 0, Note End: 794, Note Name: C#5, Velocity: 68
Note Start: 25, Note End: 50432, Note Name: B6, Velocity: 62
Note Start: 16, Note End: 26094, Note Name: C7, Velocity: 65
Note Start: 16, Note End: 24057, Note Name: A#6, Velocity: 62
Note Start: 16, Note End: 57145, Note Name: F7, Velocity: 62
Note Start: 505, Note End: 9323, Note Name: C5, Velocity: 29
Note Start: 0, Note End: 794, Note Name: C#5, Velocity: 29
Note Start: 0, Note End: 12688, Note Name: D#5, Velocity: 43
Note Start: 21, Note End: 57553, Note Name: A7, Velocity: 36
Note Start: 1, Note End: 576, Note Name: G#5, Velocity: 28
Note Start: 0, Note End: 19986, Note Name: A#5, Velocity: 28
Note Start: 0, Note End: 21503, Note Name: C6, Velocity: 42
Note Start: 5, Note End: 580, Note Name: G#5, Velocity: 33
Note Start: 0, Note End: 19986, Note Name: A#5, Velocity: 33
Note Start: 375, Note End: 2313, Note Name: A#6, Velocity: 110
Note Start: 1, Note End: 576, Note Name: G#5, Velocity: 80
Note Start: 0, Note End: 19986, Note Name: A#5, Velocity: 80
Note Start: 0, Note End: 21503, Note Name: C6, Velocity: 90
Note Start: 165, Note End: 44385, Note Name: A7, Velocity: 83
Note Start: 1, Note End: 22534, Note Name: A5, Velocity: 60
Note Start: 0, Note End: 19986, Note Name: A#5, Velocity: 49
Note Start: 0, Note End: 21503, Note Name: C6, Velocity: 55
Note Start: 83, Note End: 50491, Note Name: F#7, Velocity: 110
Note Start: 334, Note End: 21360, Note Name: A6, Velocity: 83
Note Start: 65, Note End: 53248, Note Name: C8, Velocity: 77
