Processing radium.midi...
Track 0: 
Track 1: Xylophone
Note Start: 182, Note End: 41535, Note Name: D6, Velocity: 88
Note Start: 155, Note End: 44268, Note Name: D6, Velocity: 88
Note Start: 155, Note End: 14067, Note Name: C6, Velocity: 88
Note Start: 158, Note End: 43943, Note Name: D6, Velocity: 89
Note Start: 180, Note End: 41781, Note Name: D6, Velocity: 88
Note Start: 171, Note End: 42688, Note Name: D6, Velocity: 88
Note Start: 176, Note End: 42436, Note Name: D6, Velocity: 88
Note Start: 155, Note End: 44268, Note Name: D6, Velocity: 127
Note Start: 1, Note End: 5254, Note Name: C5, Velocity: 127
Note Start: 0, Note End: 11121, Note Name: C#5, Velocity: 110
Note Start: 1, Note End: 6769, Note Name: F4, Velocity: 127
Note Start: 21, Note End: 18038, Note Name: F#4, Velocity: 110
Note Start: 1, Note End: 36963, Note Name: A4, Velocity: 127
Note Start: 22, Note End: 4118, Note Name: A#4, Velocity: 111
Note Start: 1, Note End: 11122, Note Name: C#5, Velocity: 49
Note Start: 3, Note End: 171, Note Name: D5, Velocity: 49
Note Start: 333, Note End: 23222, Note Name: D6, Velocity: 66
Note Start: 0, Note End: 42112, Note Name: D#6, Velocity: 66
Note Start: 158, Note End: 43943, Note Name: D6, Velocity: 49
Note Start: 155, Note End: 44268, Note Name: D6, Velocity: 88
Note Start: 184, Note End: 41278, Note Name: D6, Velocity: 88
Note Start: 182, Note End: 41535, Note Name: D6, Velocity: 89
Note Start: 158, Note End: 43943, Note Name: D6, Velocity: 88
Note Start: 181, Note End: 41762, Note Name: D6, Velocity: 88
Note Start: 164, Note End: 43176, Note Name: D6, Velocity: 88
Note Start: 166, Note End: 43006, Note Name: D6, Velocity: 91
Note Start: 174, Note End: 42530, Note Name: D6, Velocity: 88
Note Start: 155, Note End: 44268, Note Name: D6, Velocity: 88
Note Start: 155, Note End: 14067, Note Name: C6, Velocity: 88
Note Start: 172, Note End: 42689, Note Name: D6, Velocity: 89
Note Start: 166, Note End: 43006, Note Name: D6, Velocity: 88
Note Start: 157, Note End: 44010, Note Name: D6, Velocity: 88
Note Start: 183, Note End: 41535, Note Name: D6, Velocity: 88
Note Start: 161, Note End: 43279, Note Name: D6, Velocity: 93
Note Start: 155, Note End: 44268, Note Name: D6, Velocity: 88
Note Start: 167, Note End: 10830, Note Name: C5, Velocity: 88
Note Start: 155, Note End: 12166, Note Name: C5, Velocity: 88
Note Start: 177, Note End: 10399, Note Name: C#5, Velocity: 89
Note Start: 155, Note End: 12413, Note Name: C#5, Velocity: 88
Note Start: 155, Note End: 14691, Note Name: G#5, Velocity: 88
Note Start: 155, Note End: 3855, Note Name: D5, Velocity: 88
Note Start: 155, Note End: 14691, Note Name: G#5, Velocity: 91
Note Start: 155, Note End: 3855, Note Name: D5, Velocity: 88
Note Start: 155, Note End: 236, Note Name: A5, Velocity: 88
Note Start: 155, Note End: 3855, Note Name: D#5, Velocity: 88
Note Start: 155, Note End: 236, Note Name: A5, Velocity: 89
Note Start: 155, Note End: 3855, Note Name: D#5, Velocity: 88
Note Start: 155, Note End: 14067, Note Name: C6, Velocity: 88
Note Start: 155, Note End: 12413, Note Name: C#5, Velocity: 88
Note Start: 159, Note End: 13588, Note Name: C6, Velocity: 93
Note Start: 155, Note End: 12413, Note Name: C#5, Velocity: 88
Note Start: 155, Note End: 14067, Note Name: C#6, Velocity: 89
Note Start: 155, Note End: 3855, Note Name: D5, Velocity: 89
Note Start: 155, Note End: 14067, Note Name: C#6, Velocity: 90
Note Start: 155, Note End: 3855, Note Name: D5, Velocity: 91
Note Start: 155, Note End: 41192, Note Name: F6, Velocity: 92
Note Start: 155, Note End: 10091, Note Name: F#5, Velocity: 93
Note Start: 1, Note End: 59522, Note Name: F6, Velocity: 94
Note Start: 155, Note End: 10091, Note Name: F#5, Velocity: 95
Note Start: 155, Note End: 22481, Note Name: F#6, Velocity: 95
Note Start: 155, Note End: 10091, Note Name: F#5, Velocity: 96
Note Start: 155, Note End: 22481, Note Name: F#6, Velocity: 97
Note Start: 155, Note End: 10091, Note Name: F#5, Velocity: 98
Note Start: 155, Note End: 22481, Note Name: F#6, Velocity: 99
Note Start: 155, Note End: 10091, Note Name: F#5, Velocity: 100
Note Start: 155, Note End: 47847, Note Name: A6, Velocity: 127
Note Start: 1, Note End: 62598, Note Name: D6, Velocity: 120
Note Start: 9, Note End: 41953, Note Name: D#6, Velocity: 120
Note Start: 1, Note End: 12423, Note Name: A5, Velocity: 106
Note Start: 23, Note End: 12665, Note Name: A#5, Velocity: 106
Note Start: 1, Note End: 5254, Note Name: C5, Velocity: 92
Note Start: 13, Note End: 10571, Note Name: C#5, Velocity: 92
Note Start: 1, Note End: 33280, Note Name: F5, Velocity: 83
Note Start: 14, Note End: 27794, Note Name: F#5, Velocity: 83
Note Start: 1, Note End: 19586, Note Name: F#4, Velocity: 61
Note Start: 4, Note End: 10110, Note Name: G4, Velocity: 61
Note Start: 10, Note End: 6610, Note Name: F4, Velocity: 127
Note Start: 9, Note End: 8329, Note Name: F#6, Velocity: 127
Note Start: 129, Note End: 6451, Note Name: F4, Velocity: 127
Note Start: 6, Note End: 8494, Note Name: F#6, Velocity: 127
Note Start: 638, Note End: 6270, Note Name: F4, Velocity: 127
Note Start: 4, Note End: 8492, Note Name: F#6, Velocity: 127
Note Start: 129, Note End: 6451, Note Name: F4, Velocity: 127
Note Start: 29, Note End: 5932, Note Name: F#6, Velocity: 127
Note Start: 683, Note End: 12572, Note Name: F#6, Velocity: 127
Note Start: 1, Note End: 6769, Note Name: F4, Velocity: 127
Note Start: 129, Note End: 6451, Note Name: F4, Velocity: 127
Note Start: 24, Note End: 6598, Note Name: F#6, Velocity: 127
Note Start: 144, Note End: 5097, Note Name: D5, Velocity: 54
Note Start: 334, Note End: 7806, Note Name: D5, Velocity: 49
Note Start: 331, Note End: 8158, Note Name: D5, Velocity: 49
Note Start: 324, Note End: 9063, Note Name: D5, Velocity: 49
Note Start: 330, Note End: 8312, Note Name: D5, Velocity: 49
Note Start: 308, Note End: 11114, Note Name: D5, Velocity: 49
Note Start: 317, Note End: 9916, Note Name: D5, Velocity: 50
Note Start: 309, Note End: 10960, Note Name: D5, Velocity: 49
Note Start: 322, Note End: 9319, Note Name: D5, Velocity: 49
Note Start: 311, Note End: 10714, Note Name: D5, Velocity: 49
Note Start: 308, Note End: 16095, Note Name: F#4, Velocity: 54
Note Start: 7, Note End: 150, Note Name: D5, Velocity: 54
Note Start: 22, Note End: 9491, Note Name: C#5, Velocity: 54
Note Start: 7, Note End: 11103, Note Name: C#5, Velocity: 56
Note Start: 15, Note End: 18791, Note Name: F#4, Velocity: 56
